system,round,average_wealth,inequality,population,total_wealth,idh,unemployment_rate
capitalism,52,,,100,,0.7106657353181013,0.09999999999999998
capitalism,53,,,100,,0.7106657353181013,0.050000000000000044
capitalism,54,,,100,,0.7122772930745849,0.040000000000000036
capitalism,55,,,100,,0.7122772930745849,0.010000000000000009
capitalism,56,,,100,,0.7140141691206878,0.030000000000000027
capitalism,57,,,100,,0.7140141691206878,0.030000000000000027
capitalism,58,,,100,,0.7156802028707704,0.020000000000000018
capitalism,59,,,100,,0.7156802028707704,0.010000000000000009
capitalism,60,,,100,,0.7171457837797623,0.020000000000000018
capitalism,61,,,100,,0.7171457837797623,0.030000000000000027
capitalism,62,,,100,,0.7187738960966312,0.040000000000000036
capitalism,63,,,100,,0.7187738960966312,0.050000000000000044
capitalism,64,,,100,,0.7203630697958144,0.010000000000000009
capitalism,65,,,100,,0.7203630697958144,0.020000000000000018
capitalism,66,,,100,,0.7219974304677806,0.030000000000000027
capitalism,67,,,100,,0.7219974304677806,0.0
capitalism,68,,,100,,0.7235803220659044,0.0
capitalism,69,,,100,,0.7235803220659044,0.0
capitalism,70,,,100,,0.7253138182012225,0.0
capitalism,71,,,100,,0.7253138182012225,0.0
capitalism,72,,,100,,0.7267845257566483,0.0
capitalism,73,,,100,,0.7267845257566483,0.0
capitalism,74,,,100,,0.7284331341147162,0.0
capitalism,75,,,100,,0.7284331341147162,0.0
capitalism,76,,,100,,0.7301407379197221,0.0
capitalism,77,,,100,,0.7301407379197221,0.0
capitalism,78,,,100,,0.7318671290322182,0.0
capitalism,79,,,100,,0.7318671290322182,0.0
capitalism,80,,,100,,0.7334801044886229,0.0
capitalism,81,,,100,,0.7334801044886229,0.0
capitalism,82,,,100,,0.735071106198283,0.0
capitalism,83,,,100,,0.735071106198283,0.0
capitalism,84,,,100,,0.7367342584061921,0.0
capitalism,85,,,100,,0.7367342584061921,0.0
capitalism,86,,,100,,0.7384935201729328,0.0
capitalism,87,,,100,,0.7384935201729328,0.0
capitalism,88,,,100,,0.7401800854085693,0.0
capitalism,89,,,100,,0.7401800854085693,0.0
capitalism,90,,,100,,0.7416220629465674,0.0
capitalism,91,,,100,,0.7416220629465674,0.0
capitalism,92,,,100,,0.7433167692636875,0.0
capitalism,93,,,100,,0.7433167692636875,0.0
capitalism,94,,,100,,0.7449225722626279,0.0
capitalism,95,,,100,,0.7449225722626279,0.0
capitalism,96,,,100,,0.7466047337074917,0.0
capitalism,97,,,100,,0.7466047337074917,0.0
capitalism,98,,,100,,0.7482118729198909,0.0
capitalism,99,,,100,,0.7482118729198909,0.0
communism,0,84.273806419862,0.0,100,12742.924040609969,0.3352212938592136,0.0
communism,1,225.2186851009124,0.0,100,23630.00793813152,0.3352212938592136,0.0
communism,2,699.4533383815354,0.0,100,74573.94604712109,0.3373527689062356,0.0
communism,3,4732.143249495184,0.0,100,581556.3762708772,0.3373527689062356,0.0
communism,4,205548.5817385003,0.0,100,27790580.944636963,0.3405549445630795,0.0
communism,5,415095004.0954513,0.0,100,57055009142.45902,0.3405549445630795,0.0
communism,6,1722356812586879.8,0.0,100,2.3682402022119658e+17,0.355599581626235,0.0
communism,7,2.9665124179113875e+28,0.0,100,4.0789545746279875e+30,0.355599581626235,0.0
communism,8,8.800195925622056e+54,0.0,100,1.2100269397730336e+57,0.6749178002751983,0.0
communism,9,7.744344832933493e+107,0.0,100,1.0648474145283575e+110,0.6749178002751983,0.0
communism,10,5.997487689138395e+213,0.0,100,8.246545572565278e+215,0.676617655851684,0.0
communism,11,,,100,inf,0.676617655851684,0.0
communism,12,,,100,,0.6782909659722538,0.0
communism,13,,,100,,0.6782909659722538,0.0
communism,14,,,100,,0.6800379134926464,0.0
communism,15,,,100,,0.6800379134926464,0.0
communism,16,,,100,,0.6816863846607829,0.0
communism,17,,,100,,0.6816863846607829,0.0
communism,18,,,100,,0.683377892287273,0.0
communism,19,,,100,,0.683377892287273,0.0
communism,20,,,100,,0.6851900058276769,0.0
communism,21,,,100,,0.6851900058276769,0.0
communism,22,,,100,,0.6869040005015862,0.0
communism,23,,,100,,0.6869040005015862,0.0
